fiscalDateEnding,reportedEPS,YoY_EPS_Change,SUE,Date
2025-03-31,0.5775,,,2025-03-31
2024-12-31,-0.74,,,2024-12-31
2024-09-30,3.8246,,,2024-09-30
2024-06-30,1.32,,,2024-06-30
2024-03-31,1.66,1.8744588744588744,0.585005880747252,2024-03-31
2023-12-31,-4.75,5.418918918918919,2.4460732983513997,2023-12-31
2023-09-30,-0.33,-1.0862835329184752,-0.48924979334296154,2023-09-30
2023-06-30,0.86,-0.3484848484848485,-0.15767255348569734,2023-06-30
2023-03-31,0.87,-0.47590361445783125,-0.21703566818072137,2023-03-31
2022-12-31,1.19,-1.2505263157894737,-0.5677188949543138,2022-12-31
2022-09-30,1.72,-6.212121212121212,-4.8152173123112245,2022-09-30
2022-06-30,2.01,1.337209302325581,1.3542255619633325,2022-06-30
2022-03-31,0.64,-0.26436781609195403,-0.15393047387841707,2022-03-31
2021-12-31,0.81,-0.31932773109243695,-0.18629696929131537,2021-12-31
2021-09-30,0.59,-0.6569767441860466,-0.39587690623113014,2021-09-30
2021-06-30,-1.22,-1.6069651741293534,-0.9432879433414167,2021-06-30
2021-03-31,-0.06,-1.09375,-0.6356508576736174,2021-03-31
2020-12-31,-0.69,-1.8518518518518516,-1.0287004578758836,2020-12-31
2020-09-30,-1.18,-3.0,-1.571012230607082,2020-09-30
2020-06-30,-1.03,-0.15573770491803274,-0.08849165114251199,2020-06-30
2020-03-31,0.26,-5.333333333333334,-4.196514316201094,2020-03-31
2019-12-31,-0.45,-0.3478260869565216,-0.24254330120332465,2019-12-31
2019-09-30,1.46,-2.2372881355932206,-1.5349943628572156,2019-09-30
2019-06-30,-0.16,-0.8446601941747574,-0.515806062854647,2019-06-30
2019-03-31,-0.54,-3.076923076923077,-2.0431488928566948,2019-03-31
2018-12-31,1.2,-3.6666666666666665,-3.2480891093075717,2018-12-31
2018-09-30,1.05,-0.2808219178082191,-0.02139009334071557,2018-09-30
2018-06-30,0.22,-2.375,-0.1803676481380288,2018-06-30
2018-03-31,0.79,-2.462962962962963,-0.18212669477765717,2018-03-31
2017-12-31,1.75,0.4583333333333335,0.03420939744995552,2017-12-31
2017-09-30,0.14,-0.8666666666666667,-0.06473596257302662,2017-09-30
2017-06-30,0.34,0.5454545454545456,0.04134829792419233,2017-06-30
2017-03-31,0.04,-0.9493670886075949,-0.07070612860400938,2017-03-31
2016-12-31,0.28,-0.84,-0.06277716556983098,2016-12-31
2016-09-30,-5.17,-37.92857142857142,-12.153077088847448,2016-09-30
2016-06-30,-0.13,-1.3823529411764706,-0.4446757644057937,2016-06-30
2016-03-31,0.18,3.5,1.288460603821398,2016-03-31
2015-12-31,-0.47,-2.6785714285714284,-1.0013105258406154,2015-12-31
2015-09-30,0.51,-1.0986460348162477,-0.4126647027728302,2015-09-30
2015-06-30,0.65,-6.0,-4.253181881890049,2015-06-30
2015-03-31,0.62,2.4444444444444446,2.1582847038468427,2015-03-31
2014-12-31,0.41,-1.872340425531915,-2.1489492551730245,2014-12-31
2014-09-30,1.47,1.8823529411764706,3.4475854466863236,2014-09-30
2014-06-30,0.49,-0.24615384615384617,-0.38885049399949223,2014-06-30
2014-03-31,0.97,0.564516129032258,0.9385886685581264,2014-03-31
2013-12-31,0.8,0.9512195121951221,2.068251693811589,2013-12-31
2013-09-30,0.65,-0.5578231292517006,-0.7763888045882451,2013-09-30
2013-06-30,0.26,-0.4693877551020408,-0.6920247839717292,2013-06-30
2013-03-31,0.64,-0.3402061855670103,-0.5283956657635317,2013-03-31
2012-12-31,0.54,-0.32499999999999996,-0.5453556442439006,2012-12-31
2012-09-30,0.42,-0.3538461538461539,-0.6392160701482641,2012-09-30
2012-06-30,0.48,0.846153846153846,1.5687758398997096,2012-06-30
2012-03-31,0.7578,0.18406250000000002,0.3247988360663931,2012-03-31
2011-12-31,0.47,-0.12962962962962976,-0.24381916187605662,2011-12-31
2011-09-30,1.07,1.547619047619048,4.278369659308135,2011-09-30
2011-06-30,0.61,0.27083333333333326,0.5745031272567604,2011-06-30
2011-03-31,1.12,0.47796252309316456,0.9354848953585901,2011-03-31
2010-12-31,0.7755,0.6500000000000001,1.4830733385751897,2010-12-31
2010-09-30,0.9593,-0.10345794392523366,-0.23102737903158357,2010-09-30
2010-06-30,1.0153,0.6644262295081969,0.9484585272409967,2010-06-30
2010-03-31,1.0162,-0.0926785714285715,-0.13207386521721973,2010-03-31
2009-12-31,0.9437,0.21689232753062537,0.30701578357058773,2009-12-31
2009-09-30,0.6792,-0.29198373814239553,-0.41039273101491575,2009-09-30
2009-06-30,0.3661,-0.6394169211070619,-0.9125865488240482,2009-06-30
2009-03-31,0.3656,-0.6402283015154497,-0.8717640860017901,2009-03-31
2006-12-31,0.61,-0.3536081381795062,-0.46895317024877414,2006-12-31
2006-09-30,0.75,0.10424028268551222,0.13803899632262803,2006-09-30
2000-03-31,0.9265,1.5307293089319858,2.6905777558049078,2000-03-31
1999-03-31,0.31,-0.15207877461706776,-0.2725210425961602,1999-03-31
1998-12-31,0.35,-0.42622950819672134,-0.8328919376399776,1998-12-31
1998-09-30,0.45,-0.4,-0.8670042714279146,1998-09-30
1998-06-30,0.44,-0.5250944414463032,,1998-06-30
1997-12-31,0.57,0.8387096774193548,,1997-12-31
1997-09-30,0.64,0.8285714285714287,,1997-09-30
1997-06-30,0.64,0.4222222222222223,,1997-06-30
1997-03-31,0.63,0.4318181818181819,,1997-03-31
1996-12-31,0.63,0.10526315789473695,,1996-12-31
1996-09-30,0.65,0.015625,,1996-09-30
1996-06-30,0.63,-0.015625,,1996-06-30
1996-03-31,0.41,-0.3492063492063493,,1996-03-31
