Ticker;MarketCap;ActualPrice;TargetMeanPrice;TargetMeanPricePct;FinancialCurrency;OperatingIncome_TTM;EnterpriseValue;OperatingIncome_EV_Ratio;Eight_Year_ROA;Eight_Year_ROC;FCF_Sum_to_Assets;Eight_Year_Gross_Margin_Growth;Margin_Stability;Years_Data_Available;Current_ROA;FS_ROA;Current_FCFTA;FS_FCFTA;ACCRUAL;FS_ACCRUAL;LEVER;FS_LEVER;LIQUID;FS_LIQUID;ROA_Change;FS_ROA_Change;FCFTA_Change;FS_FCFTA_Change;MARGIN;FS_MARGIN;TURN;FS_TURN;OperatingIncome_EV_Ratio_Percentile;Eight_Year_ROA_Percentile;Eight_Year_ROC_Percentile;FCF_Sum_to_Assets_Percentile;Eight_Year_Gross_Margin_Growth_Percentile;Margin_Stability_Percentile;Current_ROA_Percentile;Current_FCFTA_Percentile;ACCRUAL_Percentile;LEVER_Percentile;LIQUID_Percentile;ROA_Change_Percentile;FCFTA_Change_Percentile;MARGIN_Percentile;TURN_Percentile;Max_Margin_Metric_Percentile;Max_Margin_Source;Franchise_Power_Percentile;Financial_Strength_Score;P_FS;QUALITY
PEP;1.77E+11;128.99;151.15045;0.171799752;USD;12786000000;2.18E+11;6%;9%;53%;28%;1%;75.29655558;5;10%;1;7%;1;-2%;0;0%;0;-3%;0;1%;1;-1%;0;0%;1;1%;1;65%;70%;76%;58%;58%;88%;71%;57%;23%;43%;52%;59%;35%;45%;56%;88%;Stability;73%;5;56%;64%
TJX;1.42E+11;127;138.05333;0.087034094;USD;6302000000;1.55E+11;4%;14%;30%;41%;2%;21.2949717;5;15%;1;13%;1;-2%;0;1%;1;-3%;0;0%;1;-1%;0;1%;1;-5%;0;43%;85%;57%;75%;76%;53%;87%;78%;25%;56%;53%;53%;25%;51%;19%;76%;Growth;73%;5;56%;64%
IP;25014636544;47.385;53.88583;0.137191727;USD;314000000;34843852800;1%;4%;8%;18%;0%;102.1451477;5;2%;1;3%;1;1%;1;0%;0;-16%;0;1%;1;0%;1;0%;1;0%;1;18%;42%;25%;42%;39%;94%;31%;31%;57%;40%;32%;65%;49%;41%;48%;94%;Stability;51%;7;78%;64%
AMGN;1.46E+11;270.66;314.20407;0.160881068;USD;7445000000;1.95E+11;4%;8%;63%;38%;-6%;10.76553204;5;4%;1;11%;1;7%;1;3%;1;-39%;0;-2%;0;4%;1;-8%;0;7%;1;42%;63%;82%;70%;11%;32%;42%;72%;84%;84%;15%;22%;82%;3%;89%;32%;Stability;62%;6;67%;64%
AEM;59329396736;117.7722;126.38083;0.073095603;USD;3732150000;57734451200;6%;5%;10%;13%;8%;7.231004788;5;6%;1;7%;1;1%;1;3%;1;-24%;0;0%;0;4%;1;11%;1;5%;1;72%;48%;28%;35%;91%;22%;52%;56%;54%;79%;21%;36%;82%;95%;76%;91%;Growth;51%;7;78%;64%
COIN;66834587648;262.4;260.77777;-0.006182279;USD;2301503000;65810595840;3%;6%;4%;26%;-1%;9.973369072;4;11%;1;11%;1;0%;0;1%;1;21%;1;11%;1;5%;1;11%;1;8%;1;37%;55%;17%;55%;30%;29%;77%;73%;46%;67%;86%;95%;89%;95%;91%;30%;Growth;39%;8;89%;64%
YELP;2401751040;37.62;38.56778;0.025193514;USD;169288000;2128302336;8%;8%;15%;89%;0%;155.1496143;5;14%;1;25%;1;12%;1;;0;-21%;0;4%;1;-2%;0;0%;0;12%;1;82%;61%;34%;97%;40%;98%;83%;95%;91%;;23%;82%;17%;31%;95%;98%;Stability;72%;5;56%;64%
SHEL;1.96E+11;65.8699;77.50938;0.176704079;USD;29253000000;4.40E+11;7%;6%;15%;36%;6%;5.387444485;5;4%;1;9%;1;5%;1;1%;1;-6%;0;-1%;0;1%;1;1%;1;-5%;0;76%;52%;35%;68%;88%;18%;41%;65%;79%;66%;47%;34%;63%;64%;20%;88%;Growth;61%;6;67%;64%
HPQ;26113814528;27.701;32.42133;0.170402874;USD;4098000000;34876035072;12%;10%;;39%;1%;19.19927892;5;7%;1;8%;1;1%;1;4%;1;-1%;0;-2%;0;0%;0;1%;1;-11%;0;96%;74%;;73%;69%;51%;56%;60%;58%;86%;60%;26%;43%;53%;6%;69%;Growth;72%;5;56%;64%
DEO;62413406208;108.965;124.57143;0.143224246;USD;6001000000;2.69E+11;2%;9%;42%;27%;0%;86.33634439;5;9%;1;6%;1;-3%;0;1%;1;-10%;0;-1%;0;1%;1;1%;1;-1%;0;25%;68%;70%;57%;42%;91%;67%;47%;19%;57%;42%;30%;55%;49%;35%;91%;Stability;72%;5;56%;64%
PANW;1.24E+11;186.25;212.00958;0.13830647;USD;;1.22E+11;;2%;;45%;2%;28.89935197;4;13%;1;16%;1;3%;1;;0;11%;1;10%;1;-3%;0;2%;1;-7%;0;;30%;;76%;74%;65%;81%;84%;72%;;79%;94%;15%;76%;14%;74%;Growth;60%;6;67%;63%
PBI;1784435712;9.845;17;0.726764855;USD;330362000;3506549504;9%;-4%;341%;11%;20%;4.553535059;5;-6%;0;5%;1;11%;1;-6%;0;-30%;0;3%;1;5%;1;3%;1;11%;1;90%;13%;98%;32%;96%;15%;10%;39%;89%;8%;18%;78%;85%;85%;93%;96%;Growth;60%;6;67%;63%
DHR;1.31E+11;183.58;247.04625;0.345714402;USD;4825000000;1.50E+11;3%;7%;67%;33%;-1%;49.45367338;5;5%;1;7%;1;2%;1;0%;0;-29%;0;-1%;0;0%;0;1%;1;3%;1;34%;57%;83%;65%;32%;78%;46%;53%;65%;39%;18%;35%;45%;55%;63%;78%;Stability;71%;5;56%;63%
IFF;19107512320;74.7;91.606;0.226318608;USD;915000000;28702445568;3%;-3%;9%;9%;4%;18.34759987;5;1%;1;2%;1;1%;1;3%;1;17%;1;9%;1;-1%;0;4%;1;3%;1;32%;13%;26%;27%;83%;48%;21%;24%;61%;83%;83%;93%;30%;88%;68%;83%;Growth;37%;8;89%;63%
TGT;42869338112;94.35;105.78125;0.121157923;USD;5566000000;59699916800;9%;8%;18%;21%;-1%;13.57803729;5;7%;1;8%;1;1%;1;2%;1;3%;1;0%;0;1%;1;1%;1;-10%;0;89%;65%;42%;47%;31%;40%;58%;59%;52%;76%;66%;38%;56%;53%;10%;40%;Stability;49%;7;78%;63%
UNP;1.33E+11;222.04;242.79037;0.093453297;USD;9710000000;1.66E+11;6%;10%;17%;33%;-2%;23.85618953;5;10%;1;9%;1;-1%;0;2%;1;-5%;0;0%;1;2%;1;2%;1;0%;0;66%;73%;38%;66%;29%;58%;72%;63%;32%;78%;50%;56%;64%;71%;39%;58%;Stability;59%;6;67%;63%
VZ;1.82E+11;43.28;48.06739;0.110614372;USD;29143000000;3.53E+11;8%;5%;26%;4%;1%;43.35360785;5;5%;1;5%;1;0%;1;5%;1;-7%;0;1%;1;2%;1;1%;1;0%;0;83%;46%;51%;17%;66%;74%;43%;42%;51%;90%;46%;68%;63%;56%;38%;74%;Stability;47%;7;78%;62%
MDT;1.03E+11;80.175;95.83815;0.195362021;USD;5952000000;1.24E+11;5%;4%;31%;23%;0%;50.60541051;4;4%;1;6%;1;2%;1;0%;1;-36%;0;0%;0;1%;1;0%;0;2%;1;53%;43%;59%;50%;44%;80%;40%;47%;64%;47%;16%;45%;54%;30%;59%;80%;Stability;58%;6;67%;62%
SWKS;10394931200;69.24;69.40263;0.002348787;USD;623400000;10266086400;6%;13%;33%;64%;-6%;12.81482097;5;7%;1;20%;1;13%;1;0%;0;222%;1;-4%;0;1%;1;-3%;0;-6%;0;69%;83%;61%;89%;13%;38%;60%;91%;92%;38%;99%;12%;53%;12%;17%;38%;Stability;68%;5;56%;62%
WMT;7.68E+11;96.0429;107.8835;0.123284491;USD;29348000000;8.33E+11;4%;6%;23%;19%;0%;56.35972151;5;7%;1;5%;1;-3%;0;2%;1;-1%;0;1%;1;-1%;0;0%;1;4%;1;37%;53%;48%;44%;40%;82%;62%;41%;21%;68%;61%;65%;28%;48%;75%;82%;Stability;57%;6;67%;62%
TMUS;2.75E+11;241.76;269.2185;0.113577515;USD;18812000000;3.83E+11;5%;3%;17%;5%;5%;12.22092934;5;5%;1;5%;1;-1%;0;-1%;0;0%;1;1%;1;1%;1;2%;1;1%;1;54%;35%;40%;19%;87%;37%;48%;41%;41%;30%;63%;67%;61%;75%;56%;87%;Growth;45%;7;78%;61%
SE;97606328320;164.87;174.80606;0.060266028;USD;1047464000;90686013440;1%;-5%;-5%;9%;3%;18.17153369;5;2%;1;13%;1;11%;1;9%;1;5%;1;1%;1;3%;1;-2%;0;5%;1;20%;11%;12%;29%;80%;47%;29%;77%;90%;97%;72%;64%;79%;17%;80%;80%;Growth;33%;8;89%;61%
ISRG;1.93E+11;539.51;575.7757;0.067219699;USD;2457600000;1.90E+11;1%;12%;23%;25%;-1%;55.35510946;5;12%;1;7%;1;-5%;0;;0;-68%;0;1%;1;2%;1;1%;1;-2%;0;20%;79%;47%;54%;35%;81%;80%;54%;12%;;8%;60%;71%;60%;32%;81%;Stability;66%;5;56%;61%
AVGO;1.08E+12;228.9;239.24757;0.045205636;USD;18725000000;1.24E+11;15%;12%;127%;40%;1%;19.04091028;5;4%;1;12%;1;8%;1;12%;1;-164%;0;-16%;0;-12%;0;-6%;0;-18%;0;98%;80%;93%;73%;61%;50%;37%;74%;87%;99%;3%;4%;2%;6%;2%;61%;Growth;77%;4;44%;61%
SYY;34618564608;71.415;79.77824;0.11710761;USD;3176000000;47997427712;7%;6%;32%;27%;1%;77.00600757;4;8%;1;9%;1;1%;1;-1%;0;-5%;0;0%;1;0%;0;0%;1;-18%;0;75%;54%;60%;58%;54%;89%;65%;63%;54%;33%;49%;49%;39%;43%;3%;89%;Stability;65%;5;56%;60%
ROST;44290650112;134.69;150.7275;0.119069716;USD;2585586000;51014754304;5%;13%;24%;38%;0%;24.81959303;5;14%;1;11%;1;-3%;0;5%;1;-15%;0;1%;1;-1%;0;0%;1;-1%;0;56%;84%;48%;70%;48%;59%;84%;72%;16%;92%;33%;61%;26%;48%;36%;59%;Stability;65%;5;56%;60%
ORLY;78479671296;1377.09;1457.483;0.0583789;USD;3240142000;85691211776;4%;17%;62%;63%;-1%;71.35636427;4;16%;1;14%;1;-2%;0;3%;1;-2%;0;-1%;0;-1%;0;0%;0;-2%;0;41%;91%;80%;89%;34%;88%;88%;80%;22%;83%;58%;32%;29%;35%;31%;88%;Stability;87%;3;33%;60%
INFY;75299504128;18.13;19.20969;0.059552675;USD;4012000000;69736603648;6%;19%;51%;69%;-5%;14.03526995;4;19%;1;17%;1;-2%;0;;0;50%;1;0%;0;1%;1;0%;0;-7%;0;64%;94%;76%;93%;16%;41%;93%;88%;28%;;97%;40%;58%;34%;16%;41%;Stability;76%;4;44%;60%
ABBV;3.24E+11;183.31;210.56705;0.148693743;USD;12913000000;3.87E+11;3%;6%;;64%;0%;18.5827311;4;3%;1;13%;1;10%;1;-6%;0;-21%;0;0%;0;-3%;0;8%;1;1%;1;36%;51%;;89%;54%;50%;35%;78%;88%;9%;25%;37%;12%;93%;57%;54%;Growth;65%;5;56%;60%
COST;4.49E+11;1012.66;1054.2885;0.041108072;USD;9751000000;4.47E+11;2%;9%;27%;32%;-1%;37.06899416;5;11%;1;9%;1;-1%;0;-1%;0;-10%;0;1%;1;0%;0;0%;1;13%;1;24%;71%;54%;63%;36%;69%;74%;68%;35%;34%;41%;67%;42%;46%;96%;69%;Stability;64%;5;56%;60%
MMC;1.13E+11;229.09;233.06367;0.017345454;USD;5897000000;1.34E+11;4%;8%;114%;25%;0%;99.11873736;5;7%;1;7%;1;0%;0;-10%;0;3%;1;-1%;0;-1%;0;0%;1;-4%;0;48%;64%;92%;52%;49%;93%;59%;55%;46%;3%;68%;34%;30%;47%;22%;93%;Stability;75%;4;44%;60%
FDX;51652755456;215.58;277.22934;0.285969663;USD;5987000000;;;5%;10%;15%;0%;131.0700712;4;5%;1;4%;1;-1%;0;0%;1;-1%;0;0%;1;1%;1;0%;1;-3%;0;;47%;27%;37%;49%;97%;45%;32%;31%;51%;61%;55%;53%;46%;27%;97%;Stability;52%;6;67%;59%
MCD;2.25E+11;314.14;332.00394;0.056866174;USD;11787000000;2.76E+11;4%;14%;28%;48%;2%;40.26170379;5;15%;1;12%;1;-3%;0;-3%;0;3%;1;0%;0;-1%;0;0%;0;2%;1;45%;87%;56%;79%;70%;73%;86%;75%;19%;14%;65%;42%;32%;28%;58%;73%;Stability;74%;4;44%;59%
MMM;79726133248;148.14;150.71556;0.017385986;USD;4919000000;87777804288;6%;5%;;39%;-4%;11.61217928;5;10%;1;2%;1;-9%;0;-2%;0;34%;1;24%;1;-8%;0;2%;1;13%;1;61%;46%;;72%;18%;36%;73%;21%;7%;22%;94%;99%;5%;78%;96%;36%;Stability;51%;6;67%;59%
FCX;55365505024;38.55;44.17474;0.145907652;USD;6533000000;70689751040;9%;6%;17%;18%;-8%;8.910870716;5;3%;1;4%;1;1%;1;0%;1;0%;1;0%;0;3%;1;-1%;0;3%;1;89%;50%;37%;42%;8%;27%;36%;37%;55%;49%;62%;44%;80%;21%;66%;27%;Stability;39%;7;78%;58%
PYPL;68018958336;69.94;83.02333;0.187065056;USD;5979000000;71652466688;8%;5%;35%;26%;-6%;11.43011513;4;5%;1;8%;1;3%;1;0%;0;-3%;0;0%;0;3%;1;0%;1;3%;1;84%;45%;64%;55%;12%;35%;46%;61%;74%;37%;55%;43%;79%;38%;65%;35%;Stability;50%;6;67%;58%
AAL;7337071104;11.125;13.34957;0.199961348;USD;2947000000;36101439488;8%;0%;4%;4%;516%;1.49002751;5;1%;1;2%;1;1%;1;6%;1;-7%;0;0%;1;0%;1;-1%;0;4%;1;83%;18%;16%;18%;100%;5%;25%;24%;53%;94%;44%;49%;48%;21%;74%;100%;Growth;38%;7;78%;58%
ANF;3515728896;73.8;117.8;0.596205962;USD;740820000;3829548800;19%;9%;22%;31%;1%;19.25630108;5;17%;1;16%;1;-1%;0;;0;-11%;0;6%;1;-1%;0;1%;1;6%;1;99%;70%;46%;63%;63%;51%;90%;85%;33%;;40%;89%;34%;63%;84%;63%;Growth;60%;5;56%;58%
CSCO;2.49E+11;62.78;69.15591;0.101559573;USD;;2.65E+11;;11%;102%;46%;0%;60.60736016;4;8%;1;8%;1;0%;0;-9%;0;-48%;0;-4%;0;-10%;0;2%;1;-13%;0;;77%;90%;78%;51%;84%;66%;61%;47%;5%;11%;14%;4%;76%;5%;84%;Stability;82%;3;33%;58%
PINS;20863762432;30.835;40.53526;0.314586022;USD;198756000;19011604480;1%;9%;2%;51%;0%;44.16555707;5;35%;1;18%;1;-17%;0;;0;-178%;0;36%;1;1%;1;2%;1;-17%;0;19%;69%;14%;81%;43%;75%;99%;89%;2%;;3%;100%;55%;74%;3%;75%;Stability;60%;5;56%;58%
NEM;59729141760;53.665;62.84158;0.170997484;USD;6968000000;62052290560;11%;1%;7%;12%;2%;4.966993826;5;6%;1;5%;1;-1%;0;-1%;0;37%;1;10%;1;5%;1;13%;1;12%;1;94%;21%;24%;33%;69%;16%;50%;44%;40%;32%;95%;95%;88%;96%;95%;69%;Growth;37%;7;78%;57%
DAL;31179812864;47.752;57.85957;0.211667993;USD;5950000000;51127566336;12%;3%;16%;5%;53%;2.274771113;5;5%;1;4%;1;-1%;0;5%;1;-2%;0;-2%;0;2%;1;0%;1;3%;1;96%;36%;35%;21%;98%;9%;43%;33%;39%;89%;59%;27%;72%;38%;67%;98%;Growth;48%;6;67%;57%
T;1.97E+11;27.315;29.25808;0.071136006;USD;24376000000;3.52E+11;7%;2%;17%;20%;3%;27.1711927;5;3%;1;5%;1;2%;1;1%;1;-5%;0;-1%;0;0%;0;1%;1;1%;1;77%;30%;38%;44%;79%;62%;32%;40%;67%;67%;49%;33%;41%;54%;53%;79%;Growth;48%;6;67%;57%
GLW;41264771072;48.18;52.17692;0.082958074;USD;1326000000;48787689472;3%;4%;7%;16%;-3%;15.49141853;5;2%;1;4%;1;2%;1;0%;1;-5%;0;0%;0;1%;1;1%;1;3%;1;28%;39%;24%;38%;22%;44%;27%;32%;63%;54%;51%;41%;62%;66%;68%;44%;Stability;36%;7;78%;57%
DE;1.39E+11;510.51;534.35864;0.046715324;USD;10227000000;2.00E+11;5%;8%;21%;14%;7%;8.95332904;5;7%;1;4%;1;-2%;0;-3%;0;17%;1;-3%;0;0%;1;2%;1;-11%;0;57%;64%;45%;35%;89%;27%;53%;34%;21%;16%;84%;19%;47%;69%;8%;89%;Growth;58%;5;56%;57%
AMZN;2.14E+12;201.3376;237.86478;0.181422546;USD;71691000000;2.22E+12;3%;6%;12%;5%;5%;14.78317959;5;9%;1;5%;1;-4%;0;3%;1;2%;1;4%;1;-1%;0;2%;1;-7%;0;34%;49%;31%;21%;87%;42%;70%;45%;13%;80%;64%;81%;32%;72%;16%;87%;Growth;47%;6;67%;57%
FSLR;17159040000;160;201.01772;0.25636075;USD;1372953000;16507305984;8%;6%;8%;-12%;21%;1.492253812;5;11%;1;-3%;0;-13%;0;1%;1;-110%;0;3%;1;5%;1;5%;1;3%;1;84%;54%;25%;11%;97%;5%;74%;10%;5%;66%;5%;74%;87%;89%;64%;97%;Growth;47%;6;67%;57%
HON;1.43E+11;221.65;238.09695;0.074202346;USD;7785000000;1.68E+11;5%;8%;60%;25%;2%;40.13434051;5;8%;1;7%;1;-1%;0;-7%;0;5%;1;-2%;0;0%;0;1%;1;-8%;0;51%;66%;78%;53%;74%;72%;63%;50%;36%;7%;71%;27%;40%;56%;12%;74%;Growth;68%;4;44%;56%
HOG;2926646016;24.09;28.621;0.188086343;USD;314047000;9400927232;3%;5%;34%;22%;-1%;30.42157077;5;4%;1;7%;1;3%;1;3%;1;-12%;0;-2%;0;3%;1;-3%;0;-4%;0;36%;49%;63%;48%;37%;67%;38%;58%;74%;85%;37%;25%;78%;14%;21%;67%;Stability;57%;5;56%;56%
HAL;16949281792;19.715;29.11519;0.476803956;USD;3738000000;23971911680;16%;8%;28%;27%;12%;6.245823786;5;10%;1;9%;1;0%;0;3%;1;-1%;0;-1%;0;1%;1;0%;0;-4%;0;99%;67%;55%;56%;93%;20%;72%;68%;43%;81%;59%;32%;61%;32%;23%;93%;Growth;68%;4;44%;56%
DOCU;17235032064;85.11;91.74333;0.077938315;USD;229649000;16679719936;1%;5%;61%;67%;1%;125.0858986;5;27%;1;23%;1;-4%;0;;0;-13%;0;24%;1;-7%;0;0%;0;-19%;0;21%;47%;79%;92%;55%;96%;98%;94%;14%;;36%;99%;6%;33%;2%;96%;Stability;79%;3;33%;56%
GFI;20685508608;23.07;23;-0.003034244;USD;2093200000;21977434112;10%;10%;27%;10%;1%;12.83200697;5;12%;1;4%;1;-8%;0;-10%;0;-11%;0;4%;1;2%;1;6%;1;-3%;0;90%;74%;53%;30%;68%;39%;79%;35%;9%;4%;39%;81%;74%;91%;24%;68%;Growth;56%;5;56%;56%
PLTR;2.90E+11;122.855;96.61391;-0.213593993;USD;405570000;2.84E+11;0%;-4%;-4%;37%;1%;62.06042864;5;7%;1;18%;1;11%;1;;0;41%;1;3%;1;3%;1;0%;0;-4%;0;15%;11%;13%;69%;62%;85%;60%;89%;89%;;96%;75%;75%;28%;22%;85%;Stability;45%;6;67%;56%
KO;3.09E+11;71.685;77.6684;0.08346795;USD;14066000000;3.44E+11;4%;11%;103%;35%;0%;48.09811148;5;11%;1;5%;1;-6%;0;-6%;0;-10%;0;0%;0;-5%;0;2%;1;0%;0;44%;75%;90%;68%;53%;77%;74%;40%;11%;10%;40%;38%;7%;68%;40%;77%;Stability;78%;3;33%;55%
LVS;28279250944;40.02;51.01235;0.274671414;USD;2352000000;39476850688;6%;4%;6%;6%;9%;7.350859788;5;7%;1;8%;1;1%;1;4%;1;-57%;0;1%;1;-1%;0;-1%;0;7%;1;67%;40%;21%;23%;92%;22%;57%;60%;56%;87%;10%;66%;27%;23%;87%;92%;Growth;44%;6;67%;55%
CAH;36401819648;152.515;155.47467;0.019405763;USD;2265000000;41798856704;5%;0%;61%;23%;-8%;8.816905337;5;2%;1;7%;1;5%;1;-1%;0;-2%;0;1%;1;2%;1;0%;0;30%;1;60%;20%;79%;50%;9%;26%;27%;57%;80%;30%;58%;64%;67%;35%;100%;26%;Stability;44%;6;67%;55%
AXP;2.00E+11;285.13;292.98114;0.0275353;USD;;2.02E+11;;4%;;23%;;;5;4%;1;4%;1;1%;1;0%;1;;0;1%;1;-2%;0;;0;1%;1;;39%;;48%;;;37%;38%;53%;43%;;58%;20%;;53%;;Neither;44%;6;67%;55%
RBLX;56141565952;82.77;74.97935;-0.094124079;USD;-1015698000;54536998912;-2%;-15%;-61%;18%;2%;47.46782663;5;-13%;0;9%;1;22%;1;2%;1;-6%;0;6%;1;7%;1;1%;1;5%;1;11%;5%;2%;41%;71%;77%;5%;64%;97%;77%;48%;88%;93%;59%;77%;77%;Stability;31%;7;78%;54%
XYZ;36021661696;58.57;67.19537;0.147266006;USD;1770067000;34381262848;5%;2%;6%;6%;14%;6.28302211;5;8%;1;4%;1;-4%;0;-2%;0;32%;1;8%;1;4%;1;3%;1;-1%;0;58%;28%;21%;22%;94%;21%;65%;36%;14%;21%;93%;92%;84%;84%;36%;94%;Growth;41%;6;67%;54%
JCI;64146419712;97.48;100.48714;0.030848789;USD;3283000000;76075573248;4%;4%;94%;16%;1%;65.99943429;5;4%;1;4%;1;0%;0;0%;0;-3%;0;0%;0;0%;0;0%;1;1%;1;46%;41%;89%;38%;65%;86%;40%;33%;44%;38%;52%;39%;39%;42%;52%;86%;Stability;64%;4;44%;54%
GE;2.47E+11;232.07;228.11722;-0.017032706;USD;7478000000;2.53E+11;3%;2%;26%;13%;17%;5.12865078;5;5%;1;3%;1;-2%;0;-3%;0;-23%;0;0%;0;0%;1;2%;1;11%;1;29%;29%;51%;34%;95%;17%;48%;30%;23%;19%;22%;43%;52%;78%;93%;95%;Growth;52%;5;56%;54%
B;32765833216;19.0509;24.35615;0.278477657;USD;4724000000;41839280128;11%;3%;11%;9%;-2%;7.045437969;5;5%;1;3%;1;-2%;0;0%;1;-27%;0;2%;1;1%;1;8%;1;2%;1;95%;36%;28%;28%;28%;21%;42%;29%;28%;53%;19%;70%;63%;93%;62%;28%;Growth;30%;7;78%;54%
OXY;40270721024;40.92;49.53962;0.21064565;USD;6100000000;72483168256;8%;8%;12%;36%;6%;4.942619819;5;4%;1;5%;1;2%;1;-4%;0;4%;1;-3%;0;-3%;0;0%;0;-7%;0;85%;63%;32%;68%;88%;16%;37%;44%;63%;11%;69%;21%;13%;36%;15%;88%;Growth;63%;4;44%;54%
RTX;1.78E+11;133.265;138.58478;0.039918808;USD;6703000000;2.19E+11;3%;3%;26%;11%;-1%;16.23331235;5;3%;1;2%;1;-1%;0;2%;1;-4%;0;1%;1;-1%;0;2%;1;7%;1;31%;34%;52%;32%;38%;45%;34%;26%;42%;77%;51%;62%;37%;69%;86%;45%;Stability;40%;6;67%;54%
BMY;95109464064;46.735;57.18682;0.223640098;USD;7870000000;1.35E+11;6%;3%;51%;58%;-3%;22.23864705;5;-10%;0;15%;1;25%;1;-13%;0;-17%;0;-18%;0;2%;1;-5%;0;5%;1;64%;34%;75%;86%;21%;54%;6%;83%;98%;2%;29%;2%;67%;7%;78%;54%;Stability;62%;4;44%;53%
EQNR;64060997632;23.675;25.328;0.069820486;USD;31616000000;68860502016;46%;10%;50%;53%;-4%;6.151441544;5;7%;1;6%;1;-1%;0;1%;1;-24%;0;-2%;0;-4%;0;-3%;0;4%;1;100%;71%;75%;82%;19%;20%;53%;49%;40%;60%;21%;28%;11%;11%;72%;20%;Stability;62%;4;44%;53%
PAAS;8791806976;24.27;31.8375;0.311804697;USD;530700000;8554931712;6%;-2%;3%;5%;-5%;1.699165587;5;2%;1;6%;1;4%;1;0%;0;28%;1;3%;1;5%;1;7%;1;7%;1;70%;15%;16%;21%;16%;6%;26%;46%;76%;41%;90%;77%;86%;92%;87%;16%;Growth;17%;8;89%;53%
CEG;93857103872;299.464;292.75858;-0.022391406;USD;4695000000;98241757184;5%;2%;7%;-37%;19%;2.188544698;5;7%;1;-10%;0;-17%;0;1%;1;26%;1;4%;1;6%;1;12%;1;-5%;0;53%;31%;23%;6%;95%;8%;58%;6%;3%;61%;88%;82%;91%;96%;20%;95%;Growth;39%;6;67%;53%
URBN;6690109440;72.2;67.07143;-0.071032825;USD;473764000;7226205696;7%;7%;15%;15%;2%;15.67057924;5;9%;1;7%;1;-2%;0;;0;10%;1;2%;1;0%;0;1%;1;-3%;0;74%;58%;33%;36%;72%;44%;68%;56%;26%;;77%;72%;38%;67%;28%;72%;Growth;50%;5;56%;53%
RIO;1.02E+11;61.5799;77.93833;0.265645608;USD;14784000000;1.07E+11;14%;13%;26%;40%;-7%;10.18260421;5;11%;1;6%;1;-5%;0;0%;0;-6%;0;2%;1;-2%;0;-4%;0;0%;1;97%;85%;52%;74%;10%;30%;76%;48%;12%;40%;46%;69%;21%;10%;44%;30%;Stability;60%;4;44%;52%
TEAM;54207488000;206.5;279.438;0.353210654;USD;-168863000;52954488832;0%;-13%;-16%;72%;-1%;65.30993938;5;-6%;0;27%;1;33%;1;5%;1;-17%;0;6%;1;7%;1;-1%;0;-2%;0;13%;6%;7%;95%;33%;86%;11%;96%;99%;88%;29%;89%;92%;26%;28%;86%;Stability;49%;5;56%;52%
TXN;1.59E+11;175.085;178.54832;0.019780792;USD;5503000000;1.72E+11;3%;24%;42%;42%;-5%;13.33456855;5;14%;1;4%;1;-9%;0;-3%;0;-43%;0;-7%;0;0%;1;-5%;0;-10%;0;33%;98%;70%;75%;15%;40%;84%;35%;7%;15%;14%;9%;46%;8%;9%;40%;Stability;71%;3;33%;52%
UNH;2.66E+11;292.97;397.3644;0.356331365;USD;33475000000;3.26E+11;10%;7%;;30%;-3%;22.71112021;5;5%;1;7%;1;2%;1;-3%;0;3%;1;-3%;0;-2%;0;-2%;0;-2%;0;93%;60%;;61%;23%;55%;45%;54%;68%;18%;68%;18%;16%;15%;32%;55%;Stability;59%;4;44%;52%
