Ticker,MarketCap,ActualPrice,TargetMeanPrice,TargetMeanPricePct,FinancialCurrency,OperatingIncome_TTM,EnterpriseValue,OperatingIncome_EV_Ratio,Eight_Year_ROA,Eight_Year_ROC,FCF_Sum_to_Assets,Eight_Year_Gross_Margin_Growth,Margin_Stability,Years_Data_Available,Current_ROA,FS_ROA,Current_FCFTA,FS_FCFTA,ACCRUAL,FS_ACCRUAL,LEVER,FS_LEVER,LIQUID,FS_LIQUID,ROA_Change,FS_ROA_Change,FCFTA_Change,FS_FCFTA_Change,MARGIN,FS_MARGIN,TURN,FS_TURN,OperatingIncome_EV_Ratio_Percentile,Eight_Year_ROA_Percentile,Eight_Year_ROC_Percentile,FCF_Sum_to_Assets_Percentile,Eight_Year_Gross_Margin_Growth_Percentile,Margin_Stability_Percentile,Current_ROA_Percentile,Current_FCFTA_Percentile,ACCRUAL_Percentile,LEVER_Percentile,LIQUID_Percentile,ROA_Change_Percentile,FCFTA_Change_Percentile,MARGIN_Percentile,TURN_Percentile,Max_Margin_Metric_Percentile,Max_Margin_Source,Franchise_Power_Percentile,Financial_Strength_Score,P_FS,QUALITY,QUANTITATIVE_VALUE
AAL,7815612928.0,11.8506,13.48739,0.13811874504244503,USD,2947000000.0,36133728256.0,0.08155814919294001,-0.0004827522572539156,0.0350288995071546,0.04256834404285969,5.162792034908618,1.4900275098815812,5,0.013693087095155626,1,0.021041386789246233,1,0.007348299694090607,1,0.057041189427519845,1,-0.07374713731693927,0,0.0006574690926817138,1,0.0019002786031318622,1,-0.012236645730522494,0,0.04030794774433044,1,0.8374384236453202,0.17727272727272728,0.16836734693877553,0.1818181818181818,0.9999999999999999,0.045,0.2545454545454545,0.2545454545454545,0.5454545454545454,0.9421052631578947,0.4390243902439024,0.48636363636363633,0.5,0.205,0.740909090909091,0.9999999999999999,Growth,0.3818645640074211,7,0.7777777777777778,0.5798211708925994,2.2546980181832397
ANF,4448693248.0,93.375,113.36889,0.214124658634538,USD,712504000.0,4379049472.0,0.1627074561627606,0.09137230233226656,0.22315074071640173,0.31425076070786667,0.009971277033029802,19.256301081504752,5,0.17158860288246233,1,0.1598457765371966,1,-0.011742826345265744,0,,0,-0.10509366137805243,0,0.06126671485284259,1,-0.006793824327967629,0,0.012326440411960293,1,0.0603690822307108,1,0.9901477832512317,0.7,0.4642857142857143,0.6318181818181818,0.6307692307692307,0.515,0.9,0.85,0.3363636363636363,,0.39512195121951216,0.890909090909091,0.35909090909090907,0.62,0.8318181818181817,0.6307692307692307,Growth,0.6067182817182817,5,0.5555555555555556,0.5811369186369186,2.561432485139382
ARCO,1647384704.0,7.82,10.5375,0.3475063938618925,USD,302111000.0,3370167552.0,0.08964272408970128,0.045869472269634004,0.15324381729342096,0.08035734657515209,0.024971137666425003,18.326879839138478,5,0.05142647547892005,1,-0.021014957198475865,0,-0.07244143267739592,0,-0.011349679571097282,0,-0.1075864867782177,0,-0.0086131769101927,0,-0.028257844311051952,0,-0.006663138719896072,0,0.11059099905807424,1,0.8817733990147784,0.43636363636363634,0.34183673469387754,0.25909090909090904,0.7589743589743588,0.475,0.4681818181818182,0.11363636363636363,0.1,0.3210526315789473,0.3902439024390244,0.3318181818181818,0.1590909090909091,0.24,0.9363636363636364,0.7589743589743588,Growth,0.44906640978069545,2,0.2222222222222222,0.33564431600145883,2.0991911140310155
AVGO,1288727298048.0,273.995,286.36374,0.045142210624281365,USD,21383000000.0,142671151104.0,0.149876130069301,0.11706636503586498,1.272429024845776,0.40254761689154517,0.008997221247279086,19.040910280832428,5,0.03558815539255637,1,0.11720245102478191,1,0.08161429563222554,1,0.11613954383621072,1,-1.6416958461730644,0,-0.15768396549516134,0,-0.12480630537438911,0,-0.058961983896766434,0,-0.18025471567894458,0,0.9802955665024631,0.8,0.9285714285714286,0.7318181818181817,0.6102564102564102,0.505,0.3681818181818182,0.7454545454545455,0.8681818181818182,0.9894736842105263,0.03902439024390244,0.03636363636363636,0.022727272727272724,0.055,0.01818181818181818,0.6102564102564102,Growth,0.7676615051615051,4,0.4444444444444444,0.6060529748029748,2.566644107807901
AZN,218941849600.0,70.35,84.1825,0.19662402274342594,USD,10810000000.0,134727999488.0,0.080235734524974,0.0400898866022914,0.7784921720800906,0.23878502427067813,0.06710715778724041,10.288516852847225,5,0.06762147354255779,1,0.06992838948430817,1,0.0023069159417503787,1,-0.03360459028948831,0,0.10651538143315997,1,0.0087304639400103,1,0.0049851048394837505,1,-0.008282667868571902,0,0.06671729676443638,1,0.8226600985221676,0.40909090909090906,0.8571428571428572,0.5181818181818181,0.8923076923076922,0.31,0.5454545454545454,0.5590909090909091,0.5045454545454545,0.14736842105263157,0.7902439024390243,0.6045454545454545,0.5409090909090909,0.23,0.85,0.8923076923076922,Growth,0.6691808191808192,7,0.7777777777777778,0.7234792984792985,2.368799495523634
DECK,15885046784.0,106.3,127.32429,0.1977825964252118,USD,1179092000.0,13790142464.0,0.08550252494331302,0.22680947492274228,0.38706083677204295,0.6946019496662981,0.04289332528181511,14.75601132330921,5,0.2705946246931589,1,0.26842699058777925,1,-0.002167634105379679,0,,0,0.3214278838240423,1,0.028354515290716836,1,-0.03257610963709151,0,0.022450235736229174,1,0.028976458227040425,1,0.8669950738916257,0.9681818181818181,0.6785714285714286,0.9227272727272726,0.8410256410256409,0.415,0.9818181818181817,0.9636363636363636,0.45,,0.9365853658536585,0.7636363636363636,0.1318181818181818,0.805,0.6545454545454545,0.8410256410256409,Growth,0.85262654012654,6,0.6666666666666666,0.7596466033966034,2.4936367511798547
B,36607303680.0,21.29,24.942,0.17153593236261155,USD,4724000000.0,45536116736.0,0.1037418282149056,0.031226175573182413,0.11214032123049833,0.0910847016335615,-0.020482860019697346,7.0454379692874145,5,0.04501742745559149,1,0.027652962667450553,1,-0.017364464788140934,0,0.004460696536869285,1,-0.26832517424547175,0,0.017251170443083573,1,0.013551545977135999,1,0.07989152237824054,1,0.022539343557645836,1,0.935960591133005,0.35454545454545455,0.28571428571428575,0.2772727272727273,0.28205128205128205,0.215,0.4181818181818182,0.3,0.2863636363636364,0.5368421052631579,0.1902439024390244,0.6954545454545454,0.6363636363636364,0.935,0.6045454545454545,0.28205128205128205,Growth,0.29989593739593745,7,0.7777777777777778,0.5388368575868576,2.4107580398528676
BHP,127705841664.0,50.33,51.13667,0.016027617723028076,USD,22905000000.0,260116480000.0,0.08805670444256358,0.15439039173194624,0.3382112690400323,0.7010218635821887,-0.020911124541900583,21.59631569482377,4,0.07714776968015474,1,0.11575584689630918,1,0.03860807721615443,1,-0.03318246728895921,0,0.4762093878134781,1,-0.050409093374654934,0,-0.0023929447637761198,0,0.024153943766692998,1,0.012452381424269965,1,0.8719211822660098,0.8954545454545455,0.6224489795918368,0.9318181818181818,0.2769230769230769,0.535,0.6318181818181818,0.740909090909091,0.759090909090909,0.15789473684210525,0.9707317073170733,0.11363636363636363,0.4454545454545455,0.825,0.5454545454545454,0.535,Stability,0.746180426716141,6,0.6666666666666666,0.7064235466914038,2.4502659112234233
BIIB,19548301312.0,133.41,172.20387,0.29078682257701827,USD,2266600000.0,22425329664.0,0.10107320757199996,0.0722431865187474,0.33045242862693747,0.2936829083078722,-0.01963837817705416,27.906320153536196,5,0.0581904004734521,1,0.08968851272580777,1,0.03149811225235567,1,0.09075377691843811,1,-0.6485725917872964,0,0.014938076000928557,1,0.04365352643423548,1,0.018795703585866685,1,-0.02142705099378528,0,0.9211822660098522,0.5954545454545455,0.6173469387755103,0.609090909090909,0.28717948717948716,0.63,0.49090909090909085,0.6545454545454545,0.740909090909091,0.9789473684210526,0.0878048780487805,0.6772727272727272,0.8318181818181817,0.72,0.2818181818181818,0.63,Stability,0.6129730983302412,7,0.7777777777777778,0.6953754380540095,2.537739970073714
BKR,39253516288.0,39.62,46.44038,0.17214487632508835,USD,3474000000.0,40896352256.0,0.08494645141585509,0.025848351187225393,0.26331837831976834,0.16445533456716108,0.0204409997642252,37.6532488897707,5,0.07765294684982926,1,0.05354117248390376,1,-0.0241117743659255,0,0.0033473354891681295,1,0.07004849511200062,1,0.025061256499308217,1,0.003791544658758278,1,0.003979903119339545,1,0.03503491853558782,1,0.8620689655172414,0.32727272727272727,0.5306122448979592,0.3909090909090909,0.7435897435897435,0.7,0.6363636363636364,0.4636363636363636,0.2318181818181818,0.5210526315789473,0.751219512195122,0.7318181818181817,0.5136363636363636,0.465,0.7,0.7435897435897435,Growth,0.4980959516673802,8,0.8888888888888888,0.6934924202781345,2.417630351312617
CAAP,3317648384.0,20.595,23.16667,0.12486865744112663,USD,414833000.0,4030799104.0,0.10291582122967545,0.03579828251251782,3.010178695304064,0.27010486792858934,0.4008575207713736,2.618443768442068,5,0.06760190842889428,1,0.09366344210740293,1,0.02606153367850865,1,0.07066872630150312,1,0.17469608269358017,1,-1.740914976802732e-05,0,-0.0038902962578485495,0,-0.01794873360772814,0,0.0455497267772354,1,0.9310344827586207,0.37727272727272726,0.9642857142857143,0.5772727272727273,0.9743589743589743,0.1,0.5409090909090909,0.6772727272727272,0.7181818181818181,0.9578947368421052,0.8536585365853658,0.45909090909090905,0.42272727272727273,0.17,0.7636363636363636,0.9743589743589743,Growth,0.7232975357975359,6,0.6666666666666666,0.6949821012321012,2.5570510667493425
DAL,33405077504.0,51.16,58.68565,0.1471002736512903,USD,5950000000.0,51568635904.0,0.11538020922400391,0.032381945026944914,0.15807693062321682,0.053600806665605266,0.5302799789716464,2.274771112906029,5,0.04586583877301916,1,0.03827681367085921,1,-0.007589025102159953,0,0.04580690345653629,1,-0.019608379636170292,0,-0.016719028969091533,0,0.022783358671130786,1,0.001264489171662997,1,0.029625698975101922,1,0.9507389162561577,0.35909090909090907,0.35204081632653067,0.21363636363636362,0.9794871794871794,0.085,0.42727272727272725,0.34545454545454546,0.3909090909090909,0.8947368421052632,0.5902439024390244,0.2636363636363636,0.7272727272727272,0.37,0.6590909090909091,0.9794871794871794,Growth,0.4760638171352457,6,0.6666666666666666,0.5713652419009562,2.4728430744132717
EQNR,65978482688.0,25.805,25.008,-0.03088548730866114,USD,31616000000.0,73319661568.0,0.4312076641362819,0.0964268170523821,0.49866645265662957,0.527775447800459,-0.04115859850998804,6.151441543847904,5,0.06714909906131568,1,0.06049214204558452,1,-0.0066569570157311575,0,0.007191589222718925,1,-0.23905660709425902,0,-0.015627053606186755,0,-0.03789203402350588,0,-0.03373624649368051,0,0.03744623585082074,1,1.0,0.7136363636363636,0.75,0.8181818181818181,0.1846153846153846,0.2,0.5318181818181817,0.5,0.40454545454545454,0.6052631578947367,0.20487804878048782,0.2727272727272727,0.12272727272727271,0.105,0.7136363636363636,0.2,Stability,0.6204545454545455,4,0.4444444444444444,0.5324494949494949,2.532449494949495
FCX,65619972096.0,45.69,44.96421,-0.01588509520682857,USD,6533000000.0,78804279296.0,0.08290158933452242,0.0565395034850118,0.16719426104684199,0.1837259334889148,-0.07953310963898508,8.910870715762101,5,0.03444063593932322,1,0.04288214702450408,1,0.008441511085180861,1,0.00246309642736392,1,0.0004693478318009703,1,-0.0007553416632364862,0,0.03421647072084355,1,-0.012356172140892685,0,0.02881720099355428,1,0.8522167487684729,0.5,0.37244897959183676,0.42272727272727273,0.08205128205128204,0.27,0.3636363636363636,0.3818181818181818,0.5681818181818181,0.4894736842105263,0.624390243902439,0.44090909090909086,0.8,0.2,0.65,0.27,Stability,0.3912940630797774,7,0.7777777777777778,0.5845359204287776,2.288969417965723
FSLR,19811721216.0,184.735,201.69545,0.0918096191842368,USD,1372953000.0,17492883456.0,0.07848637438495491,0.06032369450961639,0.0750068748413193,-0.11757815525288302,0.20939466385088434,1.4922538115261919,5,0.10656594603212491,1,-0.02540975149123323,0,-0.13197569752335814,0,0.01397832458298233,1,-1.0987659615342324,0,0.026414820122681593,1,0.05027814134023288,1,0.04975137626415571,1,0.026758939588687136,1,0.812807881773399,0.5409090909090909,0.25,0.10454545454545455,0.9692307692307692,0.05,0.7454545454545455,0.09545454545454544,0.05454545454545454,0.6631578947368421,0.058536585365853655,0.740909090909091,0.8772727272727272,0.895,0.6318181818181818,0.9692307692307692,Growth,0.4661713286713287,6,0.6666666666666666,0.5664189976689977,2.1920347612157958
GFI,21480396800.0,23.9998,25.4,0.058342152851273754,USD,2093200000.0,23436324864.0,0.08931434481074789,0.1030490209794166,0.26710643345131535,0.0998826765520709,0.014366624573210807,12.832006974523093,5,0.12274596022833706,1,0.041763203817448656,1,-0.0809827564108884,0,-0.0957189717796335,0,-0.11482139655570633,0,0.03725187418722502,1,0.02497558362367989,1,0.061119865478801716,1,-0.034279458980268185,0,0.8768472906403941,0.740909090909091,0.5357142857142857,0.3,0.6717948717948716,0.385,0.7909090909090909,0.35909090909090907,0.08636363636363636,0.042105263157894736,0.3853658536585366,0.8136363636363636,0.740909090909091,0.91,0.23636363636363636,0.6717948717948716,Growth,0.5621045621045622,5,0.5555555555555556,0.5588300588300589,2.3125246401108472
GM,51561758720.0,53.63,53.85231,0.004145254521722874,USD,12400000000.0,164440211456.0,0.07540734647691646,0.034254015712973596,0.11614292770469303,-0.07766271924964523,-0.039169602837739514,10.060818547826504,5,0.02147547370791497,1,-0.021375388277851452,0,-0.042850861985766424,0,-0.01964877243590657,0,0.05161557039099263,1,-0.015611070105989458,0,-0.007898694169510551,0,0.013495545035838427,1,0.040697268814057885,1,0.8029556650246306,0.3681818181818182,0.3010204081632653,0.11363636363636363,0.1897435897435897,0.3,0.3045454545454545,0.10909090909090909,0.13636363636363635,0.23684210526315788,0.726829268292683,0.2772727272727273,0.35,0.645,0.7454545454545455,0.3,Stability,0.2707096474953618,4,0.4444444444444444,0.35757704596990314,1.9634883760191641
GT,3235586560.0,11.325,14.0525,0.2408388520971303,USD,884000000.0,11252742144.0,0.07855862941561775,0.003739055684464976,0.0934339591059492,-0.04612669337912612,-0.032619818131873646,10.813947001253046,4,0.0033390574317878267,1,-0.023373402022514787,0,-0.026712459454302614,0,0.011610117125207209,1,-0.03017201093285493,0,0.03526380954002618,1,-0.02253937366555065,0,0.02122836254936525,1,-0.029260189847408857,0,0.8177339901477833,0.18636363636363637,0.2602040816326531,0.12727272727272726,0.21538461538461537,0.33,0.17727272727272728,0.10454545454545455,0.2090909090909091,0.6421052631578946,0.5414634146341464,0.7909090909090909,0.1909090909090909,0.79,0.25909090909090904,0.33,Stability,0.2259601113172542,4,0.4444444444444444,0.33520227788084933,1.970670258176416
HAL,18534338560.0,21.5587,28.89296,0.3401995482102351,USD,3738000000.0,24332992512.0,0.1536185899928493,0.08422000887608894,0.2761354800598559,0.2675186618204557,0.12456981094939557,6.245823786425703,5,0.09774494860671434,1,0.09469652557939578,1,-0.0030484230273185586,0,0.02953311831123423,1,-0.011697987526674059,0,-0.00913022864078393,0,0.010468514397610748,1,-0.0019605623965623653,0,-0.03583930817986036,0,0.9852216748768473,0.6681818181818181,0.5510204081632653,0.5727272727272728,0.9333333333333332,0.205,0.7181818181818181,0.6818181818181818,0.43636363636363634,0.8105263157894737,0.5951219512195122,0.32272727272727275,0.6181818181818182,0.31,0.22272727272727275,0.9333333333333332,Growth,0.6813157081014223,4,0.4444444444444444,0.5628800762729333,2.533323426026628
